Epoch, Total Squared Error
1047,0.102729
1048,0.102725
1049,0.102721
1050,0.102717
1051,0.102713
1052,0.102709
1053,0.102705
1054,0.102701
1055,0.102697
1056,0.102693
1057,0.102689
1058,0.102685
1059,0.102681
1060,0.102677
1061,0.102673
1062,0.102669
1063,0.102665
1064,0.102662
1065,0.102658
1066,0.102654
1067,0.10265
1068,0.102646
1069,0.102642
1070,0.102638
1071,0.102634
1072,0.10263
1073,0.102626
1074,0.102622
1075,0.102619
1076,0.102615
1077,0.102611
1078,0.102607
1079,0.102603
1080,0.102599
1081,0.102595
1082,0.102591
1083,0.102588
1084,0.102584
1085,0.10258
1086,0.102576
1087,0.102572
1088,0.102568
1089,0.102565
1090,0.102561
1091,0.102557
1092,0.102553
1093,0.102549
1094,0.102545
1095,0.102542
1096,0.102538
1097,0.102534
1098,0.10253
1099,0.102526
1100,0.102523
1101,0.102519
1102,0.102515
1103,0.102511
1104,0.102508
1105,0.102504
1106,0.1025
1107,0.102496
1108,0.102493
1109,0.102489
1110,0.102485
1111,0.102481
1112,0.102478
1113,0.102474
1114,0.10247
1115,0.102466
1116,0.102463
1117,0.102459
1118,0.102455
1119,0.102452
1120,0.102448
1121,0.102444
1122,0.10244
1123,0.102437
1124,0.102433
1125,0.102429
1126,0.102426
1127,0.102422
1128,0.102418
1129,0.102415
1130,0.102411
1131,0.102407
1132,0.102404
1133,0.1024
1134,0.102396
1135,0.102393
1136,0.102389
1137,0.102385
1138,0.102382
1139,0.102378
1140,0.102374
1141,0.102371
1142,0.102367
1143,0.102364
1144,0.10236
1145,0.102356
1146,0.102353
1147,0.102349
1148,0.102345
1149,0.102342
1150,0.102338
1151,0.102335
1152,0.102331
1153,0.102327
1154,0.102324
1155,0.10232
1156,0.102317
1157,0.102313
1158,0.10231
1159,0.102306
1160,0.102302
1161,0.102299
1162,0.102295
1163,0.102292
1164,0.102288
1165,0.102285
1166,0.102281
1167,0.102278
1168,0.102274
1169,0.10227
1170,0.102267
1171,0.102263
1172,0.10226
1173,0.102256
1174,0.102253
1175,0.102249
1176,0.102246
1177,0.102242
1178,0.102239
1179,0.102235
1180,0.102232
1181,0.102228
1182,0.102225
1183,0.102221
1184,0.102218
1185,0.102214
1186,0.102211
1187,0.102207
1188,0.102204
1189,0.1022
1190,0.102197
1191,0.102193
1192,0.10219
1193,0.102186
1194,0.102183
1195,0.10218
1196,0.102176
1197,0.102173
1198,0.102169
1199,0.102166
1200,0.102162
1201,0.102159
1202,0.102155
1203,0.102152
1204,0.102149
1205,0.102145
1206,0.102142
1207,0.102138
1208,0.102135
1209,0.102131
1210,0.102128
1211,0.102125
1212,0.102121
1213,0.102118
1214,0.102114
1215,0.102111
1216,0.102108
1217,0.102104
1218,0.102101
1219,0.102097
1220,0.102094
1221,0.102091
1222,0.102087
1223,0.102084
1224,0.102081
1225,0.102077
1226,0.102074
1227,0.102071
1228,0.102067
1229,0.102064
1230,0.10206
1231,0.102057
1232,0.102054
1233,0.10205
1234,0.102047
1235,0.102044
1236,0.10204
1237,0.102037
1238,0.102034
1239,0.10203
1240,0.102027
1241,0.102024
1242,0.10202
1243,0.102017
1244,0.102014
1245,0.10201
1246,0.102007
1247,0.102004
1248,0.102001
1249,0.101997
1250,0.101994
1251,0.101991
1252,0.101987
1253,0.101984
1254,0.101981
1255,0.101977
1256,0.101974
1257,0.101971
1258,0.101968
1259,0.101964
1260,0.101961
1261,0.101958
1262,0.101955
1263,0.101951
1264,0.101948
1265,0.101945
1266,0.101942
